Claim,Paper,Re-analysis,Status,Note
Cohort: well-fit cells,1130 mouse / 89 human,1130 / 89,CONFIRMED,Bit-identical from vendored script
Fig S2 group n,M-Exc457 H-Exc41 M-Inh604 H-Inh43,457/41/604/43,CONFIRMED,
EVR medians + p,"0.77 vs 0.70, p=2.3e-4","0.766 vs 0.6967, p=2.28e-4",CONFIRMED,Mann-Whitney U two-sided
EVR=0 fractions,58% human / 19% mouse,58% (172/297) / 19% (296/1528),CONFIRMED,
alpha7 Exc,p=2.0e-5,p=2.02e-5,CONFIRMED,tau=1000ms label correct
alpha8 Exc,p=3.3e-6,p=3.29e-6,CONFIRMED,tau=2000ms label correct
alpha8 Inh n.s.,n.s.,p=0.327,CONFIRMED,Exc-specific as stated
beta5 Inh,inhibitory-specific,p=2.68e-4 ***,CONFIRMED,Direction/specificity hold
beta5 Exc n.s.,n.s.,p=0.480,CONFIRMED,
gamma Inh,inhibitory-specific,p=5.13e-6 ***,CONFIRMED,
gamma Exc n.s.,n.s.,p=0.102,CONFIRMED,
c1 Inh,inhibitory-specific,p=1.64e-4 ***,CONFIRMED,
c1 Exc n.s.,n.s.,p=0.159,CONFIRMED,
Species LogReg ROC-AUC,0.65,0.650 ± 0.042,CONFIRMED,"5-fold CV, 19 features"
Within-mouse E/I RF,0.92,0.919 ± 0.005,CONFIRMED,5-fold CV
Mouse->human E/I transfer,0.82,0.806,MINOR DIFF,0.81 vs 0.82; rounding/version
Pvalb-like gamma,"0.311 vs 0.152, p=9.7e-6","0.3107 vs 0.1520, p=9.70e-6",CONFIRMED*,*requires n=9 boundary assignment
Sst-like gamma,"0.163 vs 0.098, p=1.2e-7","0.1631 vs 0.0981, p=1.19e-7",CONFIRMED*,*requires n=23 boundary assignment
Subclass c1 both p<1e-4,p<1e-4,Pvalb 4.8e-5; Sst 4.6e-6,CONFIRMED*,
Human subclass n,Pvalb 9 / Sst 23 (implied),8 / 24 on rerun,DISCREPANCY,One tied cell (528687520): Pvalb .450 vs Sst .460
beta5 timescale label,tau ~ 500 ms,beta5 = 200 ms; beta6 = 500 ms,ERROR,"utils.py taus=[0,20,50,100,200,500,1000,2000]"
Supplementary AI-agent report,'provided in the supplementary',Not present in the 39-page PDF,MISSING,Promised but not included
